0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,
0,SansText,i know the fight just        started,,,,,,
0,SansBody,LookLeft,,,,,,
0.2,SansText,but...,,,,,,
0,SansText,i will forgive you,,,,,,
0,SansText,if you give a Seamsung          Bespoke AI Laundry           Washer AI EcoBubble.,,,,,
0,SansText,now priced at a low low          price of $1150!,,,,,,
0,SansText,no its not a paid promotion,,,,,,
0,SansText,if u survive the first         half of my battle...,,,,,,
0,SansText,ill let your adblocker         continue staying up.,,,,,,
0.3,CombatZoneSpeed,99999,,,,,,,
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
0,BoneVRepeat,503,257,95,2,180,8,120
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,351,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,310,220,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,310,220,508,$HeartY,180,0.4,0.2
0,BoneVRepeat,503,257,95,2,180,8,120
0,BoneVRepeat,128,366,20,0,180,8,120
5,BoneStab,20,30,5,1,,,,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
2.5,EndAttack,,,,,,,


